歌手,歌曲数,主流派别,平均流行度,最高流行度,发行年份中位数,平均danceability,平均energy,平均valence,平均acousticness,平均instrumentalness,平均liveness,平均speechiness,流派中文
Oliver Heldens,6,edm,56.333,70,2019.0,0.69,0.928,0.544,0.099,0.221,0.181,0.106,电子舞曲
Caifanes,22,rock,56.318,71,1991.0,0.567,0.693,0.538,0.227,0.021,0.195,0.041,摇滚
Why Don't We,10,pop,56.3,80,2019.0,0.626,0.629,0.461,0.191,0.0,0.144,0.049,流行
Lenny Kravitz,7,rock,56.286,72,2000.0,0.7,0.734,0.779,0.044,0.01,0.266,0.045,摇滚
"Tito ""El Bambino""",11,latin,56.273,65,2010.0,0.825,0.773,0.71,0.117,0.0,0.222,0.074,拉丁
Julia Michaels,5,pop,56.2,78,2018.0,0.621,0.607,0.515,0.344,0.0,0.101,0.073,流行
Jamaika,6,rap,56.167,59,2019.5,0.66,0.626,0.527,0.163,0.0,0.191,0.144,说唱
Danny Ocean,7,latin,56.143,77,2019.0,0.761,0.718,0.426,0.236,0.0,0.074,0.118,拉丁
Loyle Carner,8,pop,56.125,65,2019.0,0.78,0.626,0.376,0.47,0.049,0.156,0.238,流行
Tory Lanez,9,rap,56.0,73,2019.0,0.715,0.657,0.33,0.069,0.0,0.117,0.152,说唱
Eddie Money,6,rock,56.0,67,1980.0,0.594,0.792,0.741,0.062,0.0,0.105,0.033,摇滚
RL Grime,9,edm,55.889,73,2018.0,0.519,0.868,0.262,0.225,0.189,0.136,0.074,电子舞曲
Luny Tunes,7,latin,55.857,62,2003.0,0.798,0.783,0.603,0.153,0.0,0.138,0.127,拉丁
Mike WiLL Made-It,7,rap,55.857,68,2017.0,0.783,0.622,0.283,0.118,0.0,0.262,0.182,说唱
Dynoro,6,edm,55.833,84,2018.0,0.675,0.79,0.192,0.082,0.003,0.155,0.136,电子舞曲
System Of A Down,6,rock,55.833,80,2001.0,0.429,0.927,0.376,0.002,0.009,0.135,0.089,摇滚
Madonna,5,pop,55.8,71,2009.0,0.718,0.754,0.453,0.126,0.003,0.128,0.064,流行
Robin Schulz,21,pop,55.714,78,2016.0,0.632,0.722,0.407,0.084,0.042,0.161,0.062,流行
Skrillex,7,pop,55.714,72,2017.0,0.61,0.868,0.352,0.042,0.004,0.374,0.099,流行
Placebo,6,rock,55.667,66,2004.5,0.453,0.838,0.331,0.065,0.248,0.142,0.069,摇滚
Selena Gomez & The Scene,6,pop,55.667,75,2010.5,0.696,0.78,0.718,0.043,0.0,0.156,0.051,流行
Mon Laferte,6,latin,55.667,62,2018.5,0.634,0.62,0.492,0.448,0.006,0.174,0.063,拉丁
Thalía,7,latin,55.571,75,2014.0,0.764,0.827,0.779,0.23,0.002,0.167,0.069,拉丁
WC no Beat,6,rap,55.5,63,2018.0,0.764,0.636,0.657,0.269,0.0,0.148,0.175,说唱
America,8,rock,55.5,77,1972.0,0.591,0.59,0.757,0.379,0.007,0.112,0.046,摇滚
Shinedown,9,rock,55.222,68,2015.0,0.417,0.945,0.398,0.002,0.034,0.358,0.101,摇滚
O.T. Genasis,5,rap,55.2,65,2015.0,0.864,0.654,0.36,0.063,0.005,0.23,0.117,说唱
Wu-Tang Clan,19,rap,55.105,72,1993.0,0.77,0.58,0.517,0.231,0.001,0.326,0.355,说唱
Mariah Carey,12,r&b,55.083,90,1995.0,0.649,0.678,0.586,0.14,0.003,0.182,0.057,R&B
CNCO,13,latin,55.077,75,2018.0,0.717,0.755,0.62,0.161,0.0,0.217,0.074,拉丁
Solange,8,r&b,55.0,66,2016.0,0.76,0.533,0.441,0.283,0.009,0.197,0.097,R&B
Jobii,6,latin,55.0,61,2019.0,0.638,0.463,0.366,0.411,0.715,0.116,0.1,拉丁
MØ,7,pop,54.714,71,2018.0,0.698,0.756,0.484,0.102,0.001,0.29,0.087,流行
Kali Uchis,17,r&b,54.706,71,2018.0,0.669,0.616,0.549,0.224,0.012,0.162,0.082,R&B
The Black Keys,9,rock,54.667,72,2010.0,0.493,0.692,0.519,0.125,0.014,0.149,0.058,摇滚
Mike Jones,5,rap,54.6,62,2005.0,0.772,0.766,0.647,0.024,0.0,0.245,0.31,说唱
White 2115,6,rap,54.5,61,2019.0,0.755,0.651,0.541,0.268,0.009,0.207,0.144,说唱
DIVINE,10,rap,54.5,67,2018.5,0.699,0.734,0.519,0.106,0.0,0.186,0.253,说唱
Miley Cyrus,13,pop,54.462,81,2017.0,0.57,0.716,0.414,0.085,0.0,0.144,0.045,流行
Alan Walker,29,pop,54.414,85,2017.0,0.577,0.735,0.305,0.097,0.001,0.221,0.061,流行
Eraserheads,5,rock,54.4,61,2004.0,0.453,0.532,0.467,0.316,0.0,0.146,0.043,摇滚
Fabolous,5,r&b,54.4,64,2007.0,0.685,0.663,0.591,0.239,0.0,0.148,0.195,R&B
Big Pun,5,rap,54.4,65,1999.0,0.76,0.762,0.692,0.202,0.001,0.137,0.327,说唱
Journey,18,rock,54.389,80,1982.0,0.411,0.722,0.412,0.138,0.052,0.231,0.044,摇滚
Sia,22,pop,54.364,79,2016.0,0.571,0.737,0.562,0.058,0.101,0.111,0.096,流行
Shawn Mendes,21,pop,54.333,93,2017.0,0.681,0.732,0.644,0.179,0.0,0.111,0.121,流行
Rita Ora,8,pop,54.25,72,2017.0,0.607,0.758,0.381,0.117,0.0,0.145,0.111,流行
Jessie Reyez,5,r&b,54.2,74,2018.0,0.619,0.446,0.311,0.48,0.0,0.107,0.13,R&B
The xx,7,pop,54.0,72,2009.0,0.747,0.582,0.353,0.509,0.402,0.108,0.041,流行
Dwin,5,edm,54.0,59,2018.0,0.756,0.815,0.337,0.134,0.087,0.158,0.156,电子舞曲
Nacho,11,latin,53.909,69,2019.0,0.78,0.809,0.664,0.159,0.001,0.087,0.126,拉丁
Sidhu Moose Wala,15,rap,53.867,65,2018.0,0.673,0.768,0.588,0.133,0.0,0.249,0.185,说唱
Recayd Mob,6,rap,53.833,67,2019.0,0.869,0.706,0.37,0.294,0.0,0.177,0.12,说唱
Kevin Roldan,6,latin,53.833,72,2018.0,0.777,0.619,0.646,0.21,0.0,0.131,0.178,拉丁
Greyson Chance,5,pop,53.8,68,2019.0,0.66,0.559,0.465,0.221,0.0,0.165,0.147,流行
Pearl Jam,8,rock,53.75,75,1991.0,0.444,0.747,0.471,0.166,0.042,0.283,0.041,摇滚
Azet,7,rap,53.714,74,2016.0,0.732,0.704,0.535,0.182,0.0,0.081,0.283,说唱
Wiz Khalifa,19,rap,53.684,80,2015.0,0.729,0.662,0.449,0.141,0.0,0.237,0.122,说唱
Mike Perry,9,pop,53.667,73,2017.0,0.606,0.727,0.415,0.048,0.0,0.213,0.05,流行
Future,30,rap,53.633,93,2017.0,0.739,0.571,0.339,0.093,0.012,0.189,0.26,说唱
Nicky Jam,30,latin,53.633,90,2017.0,0.738,0.719,0.711,0.202,0.0,0.144,0.097,拉丁
Parokya Ni Edgar,5,rock,53.6,62,2004.0,0.596,0.629,0.589,0.405,0.0,0.338,0.098,摇滚
Ashanti,5,r&b,53.6,71,2002.0,0.699,0.615,0.653,0.422,0.0,0.124,0.06,R&B
Britney Spears,8,pop,53.5,78,2006.0,0.765,0.816,0.801,0.111,0.037,0.239,0.066,流行
Steve Lacy,6,r&b,53.5,69,2017.0,0.664,0.726,0.601,0.248,0.075,0.137,0.075,R&B
Nick Jonas,9,pop,53.444,73,2015.0,0.592,0.635,0.502,0.185,0.061,0.166,0.095,流行
NODE,5,rap,53.4,61,2019.0,0.726,0.654,0.584,0.287,0.0,0.135,0.133,说唱
BLACHA,5,rap,53.4,58,2019.0,0.698,0.678,0.437,0.54,0.0,0.134,0.229,说唱
Volbeat,5,rock,53.4,63,2013.0,0.425,0.931,0.451,0.003,0.258,0.239,0.073,摇滚
Cali Y El Dandee,5,latin,53.4,76,2017.0,0.733,0.842,0.8,0.06,0.0,0.225,0.095,拉丁
Ariana Grande,43,pop,53.395,90,2018.0,0.662,0.598,0.434,0.207,0.0,0.153,0.115,流行
Lane 8,11,edm,53.364,65,2019.0,0.552,0.66,0.159,0.241,0.644,0.122,0.038,电子舞曲
HONNE,7,pop,53.286,65,2016.0,0.618,0.617,0.453,0.243,0.0,0.11,0.084,流行
BTS,11,edm,53.273,85,2018.0,0.617,0.765,0.553,0.056,0.0,0.138,0.156,电子舞曲
Night Lovell,12,rap,53.25,64,2019.0,0.794,0.448,0.168,0.346,0.061,0.12,0.098,说唱
Duran Duran,8,pop,53.25,72,1987.5,0.618,0.796,0.598,0.1,0.0,0.228,0.06,流行
Bastille,10,pop,53.2,73,2014.0,0.596,0.717,0.464,0.248,0.001,0.154,0.048,流行
Vicente Garcia,5,latin,53.2,64,2019.0,0.782,0.662,0.731,0.444,0.0,0.11,0.103,拉丁
FLETCHER,6,pop,53.167,74,2019.0,0.659,0.624,0.486,0.439,0.0,0.264,0.166,流行
The Smiths,22,rock,53.136,73,1986.0,0.5,0.738,0.698,0.092,0.012,0.172,0.034,摇滚
Korn,9,rock,53.111,73,2011.0,0.522,0.873,0.408,0.0,0.215,0.265,0.06,摇滚
The Cure,19,rock,53.105,75,1987.0,0.545,0.791,0.682,0.102,0.298,0.167,0.052,摇滚
Zara Larsson,16,pop,53.062,79,2017.0,0.639,0.769,0.508,0.089,0.0,0.185,0.071,流行
Billy Joel,17,rock,53.059,77,1980.0,0.558,0.746,0.672,0.34,0.0,0.22,0.065,摇滚
Chelsea Cutler,7,pop,53.0,73,2019.0,0.628,0.486,0.33,0.32,0.0,0.156,0.111,流行
Young Igi,7,rap,53.0,60,2019.0,0.754,0.601,0.475,0.219,0.0,0.096,0.166,说唱
Lana Del Rey,8,edm,53.0,75,2013.0,0.468,0.633,0.206,0.271,0.011,0.184,0.047,电子舞曲
Ty Dolla $ign,9,r&b,53.0,72,2017.0,0.712,0.527,0.496,0.122,0.0,0.212,0.122,R&B
Nirvana,15,rock,53.0,81,1993.0,0.479,0.796,0.542,0.122,0.011,0.196,0.058,摇滚
Rudimental,7,edm,53.0,79,2018.0,0.7,0.733,0.5,0.091,0.127,0.175,0.051,电子舞曲
The Internet,13,r&b,52.846,67,2015.0,0.66,0.511,0.477,0.268,0.157,0.142,0.12,R&B
Red Velvet,6,edm,52.833,87,2017.5,0.701,0.838,0.64,0.147,0.002,0.193,0.088,电子舞曲
Jungle,6,pop,52.833,62,2016.0,0.609,0.655,0.48,0.258,0.028,0.176,0.067,流行
G-Eazy,17,rap,52.824,77,2017.0,0.684,0.686,0.445,0.083,0.0,0.142,0.216,说唱
Jackson Browne,5,rock,52.8,66,1977.0,0.562,0.663,0.533,0.227,0.006,0.358,0.038,摇滚
Tame Impala,8,pop,52.75,85,2015.0,0.544,0.753,0.601,0.095,0.107,0.135,0.037,流行
Sech,8,latin,52.75,88,2019.0,0.641,0.714,0.752,0.172,0.0,0.132,0.169,拉丁
Chivv,6,latin,52.667,57,2019.0,0.824,0.79,0.627,0.124,0.0,0.217,0.213,拉丁
Jax Jones,10,pop,52.6,75,2018.5,0.747,0.724,0.61,0.118,0.001,0.159,0.078,流行
Santana,6,rock,52.5,66,1999.0,0.58,0.657,0.644,0.303,0.088,0.119,0.059,摇滚
Styx,8,rock,52.5,66,1982.0,0.512,0.536,0.488,0.11,0.0,0.125,0.038,摇滚
Ñejo,7,latin,52.429,72,2013.0,0.803,0.729,0.803,0.214,0.006,0.259,0.138,拉丁
Tom Misch,21,r&b,52.429,67,2016.0,0.795,0.48,0.32,0.331,0.174,0.112,0.126,R&B
Enrique Iglesias,11,latin,52.364,74,2014.0,0.715,0.808,0.787,0.139,0.0,0.086,0.077,拉丁
Halestorm,7,rock,52.286,59,2012.0,0.534,0.938,0.508,0.005,0.008,0.24,0.073,摇滚
Juan Luis Guerra 4.40,11,latin,52.273,66,2019.0,0.728,0.838,0.814,0.554,0.0,0.33,0.065,拉丁
Carnage,5,edm,52.2,69,2015.0,0.783,0.569,0.302,0.116,0.503,0.137,0.173,电子舞曲
Otsochodzi,7,rap,52.143,57,2019.0,0.68,0.639,0.457,0.333,0.0,0.139,0.227,说唱
NOTD,8,pop,52.125,79,2019.0,0.676,0.799,0.508,0.131,0.0,0.189,0.102,流行
Ghostemane,26,rap,52.115,72,2016.0,0.735,0.724,0.268,0.178,0.089,0.237,0.285,说唱
Carlos Vives,16,latin,52.062,76,2014.5,0.668,0.839,0.682,0.113,0.0,0.194,0.07,拉丁
Anderson .Paak,21,r&b,51.952,70,2016.0,0.627,0.738,0.609,0.109,0.018,0.334,0.226,R&B
1Kilo,7,r&b,51.857,61,2019.0,0.7,0.706,0.586,0.317,0.0,0.141,0.115,R&B
chillwagon,6,rap,51.833,60,2019.0,0.739,0.704,0.603,0.198,0.0,0.189,0.208,说唱
Usher,18,r&b,51.778,79,2004.0,0.767,0.634,0.67,0.102,0.0,0.118,0.099,R&B
Radiohead,16,rock,51.75,82,1996.0,0.374,0.533,0.32,0.089,0.099,0.163,0.04,摇滚
Fleetwood Mac,24,rock,51.75,79,1977.0,0.63,0.635,0.761,0.161,0.046,0.105,0.034,摇滚
Guustavv,7,rap,51.714,60,2019.0,0.629,0.404,0.292,0.575,0.887,0.142,0.063,说唱
Kesha,10,pop,51.7,80,2010.0,0.759,0.754,0.644,0.038,0.0,0.184,0.094,流行
ZAYN,11,pop,51.636,81,2016.0,0.571,0.678,0.318,0.091,0.0,0.156,0.058,流行
Bad Wolves,5,rock,51.6,72,2018.0,0.385,0.848,0.242,0.004,0.0,0.157,0.059,摇滚
Franz Ferdinand,5,rock,51.6,73,2005.0,0.393,0.812,0.622,0.059,0.0,0.391,0.04,摇滚
Ekali,6,edm,51.5,59,2018.0,0.6,0.743,0.235,0.147,0.14,0.2,0.061,电子舞曲
Halsey,18,pop,51.5,88,2017.0,0.624,0.697,0.441,0.153,0.001,0.188,0.061,流行
Interpol,6,rock,51.5,65,2006.0,0.345,0.891,0.51,0.003,0.471,0.207,0.049,摇滚
A R I Z O N A,9,pop,51.444,72,2019.0,0.714,0.587,0.399,0.254,0.112,0.119,0.07,流行
Reik,14,latin,51.429,88,2018.0,0.681,0.713,0.593,0.157,0.0,0.186,0.075,拉丁
COIN,5,pop,51.4,68,2019.0,0.454,0.731,0.513,0.033,0.002,0.273,0.046,流行
Eazy-E,10,rap,51.4,69,1993.0,0.816,0.728,0.692,0.023,0.0,0.264,0.241,说唱
Lucky Luke,11,edm,51.364,62,2018.0,0.814,0.667,0.201,0.134,0.347,0.171,0.155,电子舞曲
Chris Brown,14,r&b,51.357,85,2018.0,0.671,0.574,0.44,0.218,0.0,0.135,0.125,R&B
Jessie J,17,edm,51.176,78,2014.0,0.606,0.679,0.573,0.212,0.0,0.274,0.128,电子舞曲
RÜFÜS DU SOL,6,edm,51.167,61,2018.5,0.657,0.786,0.36,0.042,0.204,0.156,0.037,电子舞曲
ZHU,6,edm,51.167,62,2016.0,0.683,0.625,0.33,0.09,0.075,0.134,0.055,电子舞曲
Calvin Harris,49,pop,51.143,85,2015.0,0.674,0.854,0.455,0.091,0.057,0.209,0.068,流行
Hailee Steinfeld,9,pop,51.111,81,2017.0,0.653,0.657,0.444,0.157,0.0,0.13,0.065,流行
Lit Killah,6,rap,51.0,64,2018.0,0.781,0.65,0.45,0.238,0.0,0.16,0.1,说唱
Prince,13,r&b,51.0,73,1986.0,0.68,0.654,0.678,0.088,0.007,0.135,0.079,R&B
WALK THE MOON,8,pop,51.0,82,2016.0,0.611,0.79,0.557,0.026,0.0,0.335,0.06,流行
Jay Sean,6,latin,51.0,76,2009.0,0.648,0.679,0.587,0.167,0.0,0.195,0.082,拉丁
Sleeping With Sirens,9,pop,50.889,65,2010.0,0.435,0.944,0.49,0.002,0.0,0.334,0.127,流行
Jhené Aiko,7,r&b,50.857,76,2017.0,0.535,0.42,0.334,0.584,0.001,0.182,0.109,R&B
Genesis,6,rock,50.833,61,1986.0,0.596,0.67,0.59,0.243,0.002,0.115,0.038,摇滚
J. Cole,10,r&b,50.8,86,2014.0,0.623,0.535,0.388,0.304,0.015,0.153,0.24,R&B
Getter,5,rap,50.8,55,2018.0,0.689,0.831,0.143,0.013,0.18,0.162,0.092,说唱
Trapt,5,rock,50.8,73,2005.0,0.453,0.943,0.44,0.002,0.0,0.149,0.148,摇滚
PJ Harvey,5,rock,50.8,58,2000.0,0.517,0.546,0.384,0.325,0.075,0.172,0.037,摇滚
Ellie Goulding,23,pop,50.739,88,2015.0,0.599,0.764,0.481,0.157,0.006,0.141,0.052,流行
FKJ,7,r&b,50.714,66,2017.0,0.588,0.499,0.312,0.425,0.169,0.098,0.066,R&B
Foreigner,16,rock,50.688,77,1982.5,0.543,0.705,0.579,0.165,0.0,0.122,0.049,摇滚
A$AP Rocky,12,rap,50.667,82,2015.0,0.714,0.692,0.434,0.147,0.007,0.179,0.177,说唱
Kendrick Lamar,22,rap,50.636,84,2015.0,0.692,0.637,0.418,0.101,0.0,0.217,0.225,说唱
Zeds Dead,5,edm,50.6,58,2019.0,0.569,0.847,0.211,0.035,0.217,0.146,0.065,电子舞曲
E-40,5,rap,50.6,63,2019.0,0.744,0.625,0.411,0.081,0.0,0.142,0.22,说唱
Confetti,7,pop,50.571,59,2018.0,0.691,0.783,0.62,0.03,0.0,0.199,0.185,流行
REO Speedwagon,8,rock,50.5,73,1982.0,0.384,0.719,0.416,0.076,0.0,0.191,0.036,摇滚
Skid Row,6,rock,50.5,69,1993.5,0.466,0.717,0.463,0.002,0.0,0.176,0.035,摇滚
Martin Jensen,9,pop,50.444,71,2016.0,0.732,0.778,0.541,0.094,0.0,0.157,0.077,流行
P!nk,21,pop,50.381,80,2012.0,0.621,0.74,0.455,0.086,0.0,0.16,0.079,流行
TOTO,8,rock,50.375,83,2009.5,0.605,0.624,0.757,0.122,0.011,0.107,0.042,摇滚
Natti Natasha,8,latin,50.375,80,2018.5,0.797,0.769,0.751,0.223,0.002,0.169,0.057,拉丁
Pat Benatar,6,rock,50.333,68,1991.5,0.68,0.604,0.76,0.189,0.005,0.288,0.037,摇滚
Justin Quiles,6,latin,50.333,86,2018.5,0.724,0.699,0.628,0.134,0.0,0.095,0.135,拉丁
OMI,6,latin,50.333,76,2015.0,0.789,0.648,0.666,0.27,0.005,0.151,0.073,拉丁
Diplo,7,pop,50.286,82,2015.0,0.656,0.768,0.386,0.054,0.135,0.27,0.072,流行
Fred De Palma,7,latin,50.286,73,2019.0,0.759,0.706,0.538,0.079,0.0,0.141,0.106,拉丁
6LACK,17,r&b,50.235,77,2017.0,0.641,0.502,0.242,0.325,0.001,0.128,0.191,R&B
Olympis,5,edm,50.2,67,2019.0,0.66,0.653,0.272,0.214,0.009,0.235,0.077,电子舞曲
Charlie Puth,18,pop,50.056,82,2016.5,0.711,0.616,0.601,0.308,0.0,0.159,0.105,流行
Carlos Baute,6,latin,50.0,74,2013.0,0.77,0.748,0.826,0.31,0.0,0.097,0.058,拉丁
Too $hort,5,rap,50.0,61,1993.0,0.852,0.444,0.464,0.069,0.004,0.239,0.19,说唱
Arrested Youth,5,rap,50.0,55,2019.0,0.643,0.805,0.574,0.072,0.002,0.217,0.1,说唱
Starley,7,pop,50.0,68,2019.0,0.667,0.785,0.582,0.079,0.0,0.147,0.058,流行
Alex Zurdo,5,latin,50.0,53,2016.0,0.703,0.883,0.625,0.154,0.0,0.13,0.084,拉丁
Boombox Cartel,5,edm,50.0,57,2018.0,0.621,0.9,0.36,0.123,0.165,0.141,0.143,电子舞曲
Jory Boy,5,latin,50.0,67,2014.0,0.69,0.762,0.63,0.239,0.0,0.188,0.063,拉丁
Tego Calderon,10,latin,49.8,71,2005.0,0.831,0.716,0.752,0.332,0.012,0.144,0.159,拉丁
Steely Dan,7,rock,49.714,71,1974.0,0.677,0.573,0.814,0.208,0.0,0.07,0.042,摇滚
Meek Mill,12,rap,49.667,85,2013.5,0.661,0.722,0.461,0.119,0.0,0.297,0.217,说唱
Lou Reed,5,rock,49.6,74,1972.0,0.55,0.527,0.633,0.438,0.206,0.265,0.067,摇滚
Aleman,6,rap,49.5,67,2018.0,0.843,0.495,0.527,0.225,0.0,0.204,0.3,说唱
Alex Rose,12,rap,49.417,76,2019.0,0.743,0.571,0.507,0.316,0.0,0.129,0.126,说唱
David Guetta,81,edm,49.37,79,2014.0,0.62,0.799,0.433,0.076,0.077,0.234,0.082,电子舞曲
The Chainsmokers,66,pop,49.227,85,2017.5,0.583,0.733,0.401,0.111,0.004,0.187,0.061,流行
Parov Stelar,10,edm,49.2,63,2015.0,0.831,0.73,0.772,0.143,0.425,0.167,0.109,电子舞曲
Tove Lo,10,pop,49.2,69,2015.5,0.715,0.679,0.298,0.165,0.172,0.095,0.064,流行
Black Stone Cherry,6,rap,49.167,57,2011.0,0.43,0.88,0.634,0.001,0.0,0.252,0.066,说唱
Elvis Crespo,6,latin,49.167,67,2016.5,0.777,0.892,0.87,0.262,0.001,0.133,0.122,拉丁
Lucas Estrada,11,latin,49.091,65,2019.0,0.693,0.783,0.487,0.174,0.063,0.241,0.046,拉丁
Supertramp,5,rock,49.0,74,1979.0,0.546,0.636,0.564,0.346,0.006,0.145,0.042,摇滚
Limp Bizkit,5,rock,49.0,71,2000.0,0.521,0.892,0.636,0.012,0.0,0.384,0.108,摇滚
Struggle Jennings,5,rap,49.0,54,2016.0,0.663,0.699,0.239,0.085,0.0,0.194,0.058,说唱
Pop Evil,6,rock,49.0,59,2013.0,0.58,0.904,0.489,0.004,0.005,0.159,0.066,摇滚
Dontcry,5,rap,49.0,59,2019.0,0.661,0.381,0.555,0.373,0.652,0.158,0.078,说唱
The Velvet Underground,5,rock,49.0,66,1969.0,0.479,0.442,0.48,0.391,0.004,0.195,0.034,摇滚
Charli XCX,9,pop,48.889,71,2018.0,0.686,0.828,0.576,0.063,0.029,0.197,0.05,流行
Gaullin,9,edm,48.889,76,2018.0,0.757,0.684,0.291,0.058,0.023,0.216,0.118,电子舞曲
Matoma,8,pop,48.875,69,2016.0,0.689,0.67,0.323,0.133,0.01,0.164,0.096,流行
Gryffin,15,pop,48.867,76,2018.0,0.586,0.792,0.394,0.094,0.004,0.17,0.056,流行
Thousand Foot Krutch,7,rock,48.857,68,2012.0,0.557,0.826,0.647,0.001,0.0,0.18,0.078,摇滚
Mr. Probz,6,edm,48.833,76,2014.0,0.742,0.516,0.455,0.097,0.001,0.108,0.047,电子舞曲
Lady Gaga,20,pop,48.8,88,2009.0,0.746,0.756,0.618,0.091,0.0,0.173,0.056,流行
The Doors,13,rock,48.769,74,1969.0,0.508,0.654,0.73,0.269,0.013,0.236,0.04,摇滚
Jonas Blue,27,pop,48.741,81,2018.0,0.682,0.799,0.576,0.184,0.001,0.157,0.06,流行
Topic,7,edm,48.714,75,2018.0,0.7,0.703,0.437,0.061,0.0,0.159,0.1,电子舞曲
Kansas,7,rock,48.714,77,2002.0,0.452,0.641,0.655,0.163,0.001,0.384,0.034,摇滚
dvsn,9,r&b,48.667,66,2017.0,0.698,0.416,0.375,0.18,0.106,0.139,0.143,R&B
Orishas,5,r&b,48.6,54,2018.0,0.747,0.739,0.783,0.239,0.0,0.119,0.13,R&B
Ivy Queen,9,latin,48.556,56,2006.0,0.812,0.829,0.755,0.164,0.0,0.2,0.108,拉丁
Anuel AA,15,latin,48.533,93,2018.0,0.755,0.714,0.634,0.364,0.001,0.148,0.098,拉丁
INXS,5,rock,48.4,64,2002.0,0.639,0.811,0.547,0.028,0.032,0.141,0.061,摇滚
Klingande,8,latin,48.375,60,2016.5,0.674,0.656,0.375,0.148,0.037,0.161,0.071,拉丁
Sigala,16,pop,48.312,76,2018.0,0.676,0.877,0.642,0.101,0.004,0.209,0.056,流行
Lucas & Steve,11,edm,48.273,74,2019.0,0.632,0.813,0.382,0.049,0.278,0.18,0.087,电子舞曲
Wisin,8,latin,48.25,76,2016.0,0.768,0.888,0.708,0.115,0.0,0.138,0.104,拉丁
House Of Pain,5,rap,48.2,74,1992.0,0.863,0.627,0.621,0.068,0.002,0.181,0.169,说唱
Claptone,11,pop,48.182,65,2018.0,0.719,0.641,0.487,0.1,0.12,0.156,0.037,流行
Ysy A,12,rap,48.167,65,2019.0,0.69,0.71,0.423,0.305,0.0,0.198,0.13,说唱
ODESZA,10,pop,48.1,67,2014.0,0.622,0.718,0.341,0.077,0.367,0.193,0.054,流行
Papa Roach,14,rock,48.0,79,2010.0,0.51,0.919,0.48,0.018,0.001,0.232,0.071,摇滚
Paula Abdul,5,r&b,48.0,59,1988.0,0.78,0.818,0.81,0.146,0.015,0.07,0.055,R&B
NERVO,5,edm,48.0,64,2015.0,0.607,0.811,0.387,0.015,0.016,0.12,0.108,电子舞曲
Michael Jackson,19,r&b,47.947,81,1991.0,0.774,0.838,0.672,0.143,0.062,0.208,0.069,R&B
Alexis y Fido,16,latin,47.875,64,2011.0,0.799,0.806,0.683,0.177,0.011,0.178,0.106,拉丁
The White Stripes,7,rock,47.857,78,2003.0,0.577,0.574,0.386,0.071,0.214,0.244,0.111,摇滚
"Sarah, the Illstrumentalist",6,latin,47.833,59,2019.0,0.73,0.47,0.536,0.534,0.734,0.208,0.058,拉丁
Lenny Tavárez,5,rap,47.8,63,2017.0,0.776,0.637,0.554,0.354,0.0,0.152,0.16,说唱
Cartel De Santa,24,rap,47.792,72,2007.0,0.758,0.708,0.666,0.111,0.046,0.289,0.195,说唱
DJ Khaled,18,rap,47.778,77,2017.0,0.658,0.722,0.569,0.05,0.0,0.213,0.17,说唱
J Balvin,44,latin,47.773,91,2017.0,0.724,0.747,0.677,0.159,0.003,0.168,0.128,拉丁
The Kinks,8,rock,47.75,72,1964.5,0.539,0.858,0.739,0.298,0.062,0.201,0.067,摇滚
CamelPhat,7,edm,47.714,69,2018.0,0.727,0.847,0.354,0.022,0.325,0.232,0.052,电子舞曲
Pitbull,24,latin,47.667,79,2014.0,0.714,0.829,0.73,0.085,0.004,0.254,0.134,拉丁
Elton John,17,rock,47.647,81,1973.0,0.584,0.672,0.728,0.254,0.012,0.184,0.039,摇滚
Brandy,14,r&b,47.643,66,1998.0,0.718,0.515,0.584,0.285,0.003,0.217,0.105,R&B
A$AP Ferg,8,rap,47.625,77,2018.0,0.727,0.73,0.46,0.079,0.019,0.246,0.169,说唱
Survivor,11,rock,47.545,76,2006.0,0.732,0.551,0.523,0.244,0.0,0.079,0.032,摇滚
Equalz,6,latin,47.5,53,2019.0,0.75,0.591,0.723,0.084,0.0,0.084,0.188,拉丁
Audien,8,edm,47.5,63,2018.5,0.616,0.752,0.395,0.128,0.002,0.172,0.045,电子舞曲
Alina Baraz,6,latin,47.5,69,2017.0,0.659,0.574,0.291,0.371,0.003,0.195,0.049,拉丁
Migos,17,rap,47.471,77,2017.0,0.83,0.657,0.37,0.102,0.0,0.219,0.201,说唱
Sa4,6,rap,47.333,57,2017.0,0.643,0.702,0.57,0.154,0.004,0.115,0.382,说唱
Ari Lennox,13,r&b,47.308,69,2019.0,0.695,0.486,0.557,0.237,0.001,0.194,0.143,R&B
Fantasia,5,r&b,47.2,68,2010.0,0.594,0.638,0.587,0.337,0.0,0.121,0.108,R&B
Tasha Cobbs Leonard,6,r&b,47.167,53,2017.0,0.349,0.59,0.252,0.048,0.0,0.159,0.044,R&B
Kings of Leon,15,rock,47.133,79,2008.0,0.445,0.765,0.325,0.046,0.137,0.135,0.049,摇滚
Grand Funk Railroad,5,rock,47.0,60,2006.0,0.722,0.766,0.795,0.101,0.001,0.162,0.053,摇滚
The Weeknd,52,r&b,46.981,98,2015.0,0.599,0.622,0.358,0.258,0.014,0.178,0.096,R&B
Funky,10,latin,46.9,55,2017.5,0.741,0.838,0.629,0.128,0.0,0.22,0.149,拉丁
Daya,8,pop,46.875,75,2017.0,0.68,0.75,0.45,0.106,0.001,0.234,0.138,流行
